GeneID	Muscle_rep1	Muscle_rep2	Muscle_rep3	Muscle_rep4	Muscle_rep5	Muscle_rep6
XP_038409098.1	4.92111	3.49674	5.78679	3.29964	3.21566	3.69862
XP_038409099.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409117.1	15.1753	10.1847	13.1199	12.0635	11.3141	8.96115
XP_038409118.1	4.90318	3.05084	8.98029	6.87369	7.49241	7.37844
XP_038409119.1	0.0176095	0.0	0.0422117	0.0	0.0635918	0.0
XP_038409125.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409126.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409132.1	0.757012	0.187334	1.19997	0.920805	1.40254	0.334116
XP_038409135.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409136.1	0.514014	0.154207	0.596923	0.611064	0.340615	0.242716
XP_038409137.1	0.135418	2.82004e-08	6.0906e-08	0.0	0.0170645	0.0
XP_038409141.1	4.98614	3.00219	2.76678	3.89373	4.3649	2.12827
XP_038409145.1	0.025257	0.00949119	0.0	0.0560455	0.0247869	0.00839514
XP_038409146.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409149.1	130.997	111.051	111.073	104.15	117.022	126.055
XP_038409150.1	0.122491	0.031522	0.0205319	0.0234964	0.0412297	0.0
XP_038409151.1	0.140691	0.0876118	0.204504	0.113842	0.267199	0.0958643
XP_038409152.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409158.1	3.27998	3.50891	0.0364479	4.48833	4.22361	1.00045
XP_038409163.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409167.1	0.0	0.000424005	8.23016e-10	0.0	0.0598882	0.000303049
XP_038409175.1	4.9227	3.52185	3.46313	4.65284	2.65455	3.59857
XP_038409176.1	10.2325	10.7205	12.7035	7.30563	12.262	8.55988
XP_038409177.1	12.9096	13.2376	10.928	16.5121	10.6489	10.408
XP_038409179.1	0.0	0.0	0.0447033	0.0	0.0	0.0
XP_038409186.1	0.136633	0.03302	0.0426016	0.116477	0.0602156	0.0378995
XP_038409188.1	2.78814	2.23905	2.2084	2.66021	1.95308	2.128
XP_038409189.1	40.7172	36.799	36.3243	36.5173	38.9701	38.0375
XP_038409191.1	287.142	73.6112	231.266	214.568	186.617	97.0126
XP_038409192.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409195.1	0.0	0.0	0.0	0.0954729	0.0	0.0280084
XP_038409203.1	0.0	0.0	0.0	0.300201	0.0	0.0
XP_038409206.1	0.0	0.0	0.0654519	0.0	0.0	0.0
XP_038409208.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409209.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409210.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409212.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409213.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409214.1	47.5278	49.9907	46.9579	55.9437	43.8335	45.4017
XP_038409215.1	0.00456969	0.0	0.0	0.0	0.0	0.0
XP_038409216.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409217.1	0.0263058	0.0473291	0.127582	0.0742153	0.0	0.149976
XP_038409218.1	0.0640409	0.0	0.0	0.0	0.0	0.0684655
XP_038409219.1	0.041794	0.0	0.0312632	0.107133	0.0	0.0053357
XP_038409220.1	0.0337775	0.0309684	0.0	0.0	0.0	0.0
XP_038409221.1	0.981431	0.993687	0.933291	1.59555	1.03003	1.29014
XP_038409222.1	0.0	0.0	0.0	0.0	0.0	0.0600052
XP_038409223.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409224.1	0.0212637	0.0	0.0	0.0	0.0	0.0522008
XP_038409225.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409226.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409227.1	0.233283	0.410989	0.150153	0.3812	0.268426	0.12521
XP_038409228.1	2.60738	1.05239	2.2226	1.80594	2.23576	1.20228
XP_038409229.1	2.80391	2.34338	2.99563	1.75012	1.8385	1.78503
XP_038409230.1	0.344959	0.15425	0.0577965	0.331756	0.346847	0.0392801
XP_038409231.1	3.45705	3.07765	3.72941	2.16898	4.1973	1.9758
XP_038409232.1	5.51145	6.39157	5.52359	6.88144	5.92704	5.03644
