gene_id	muscle_dietM	muscle_dietP	whole_body_dietM	whole_body_dietP
FBpp0203083	2.83566666666667	3.47313	13.8402333333333	13.5335666666667
FBpp0203084	34.1536333333333	41.1536666666667	58.7573333333333	58.9935
FBpp0203085	40.8693666666667	54.9809666666667	87.7045666666667	89.8937333333333
FBpp0203086	35.9326	1.56218	125.364	11.6541433333333
FBpp0203087	5.53699	6.42478	2.72490666666667	1.83385
FBpp0203088	6.17608666666667	7.45121333333333	7.84069333333333	6.55835
FBpp0203089	2.40619	3.20548666666667	2.97741	2.44622333333333
FBpp0203090	1.43071333333333	1.31741	1.429044	1.29065
FBpp0203091	0.242435333333333	0.353176666666667	3.06482666666667	1.69601666666667
FBpp0203092	0.602276333333333	0.604292666666667	3.39997	2.78783333333333
FBpp0203093	0.0	0.0174765666666667	0.0347684333333333	0.0252167666666667
FBpp0203094	0.0	0.0	0.0	0.0460177333333333
FBpp0203095	0.0	0.0	0.0	0.0115271
FBpp0203096	0.0	0.0	0.0	0.0433984333333333
FBpp0203097	26.7135	23.4392	50.6916666666667	45.0147
FBpp0203098	3.85898166666667	3.89365333333333	3.82585333333333	3.34300333333333
FBpp0203099	6.22602666666667	6.9018	17.9472333333333	16.9602
FBpp0203100	111.966033333333	127.383	223.382333333333	194.484333333333
FBpp0203101	14.4478366666667	16.9267	22.3958	23.2450666666667
FBpp0203102	0.076767	0.0	23.1906666666667	17.3627
FBpp0203103	0.0	0.0	0.0425973	0.0482492
FBpp0203104	0.206613666666667	0.115180666666667	113.015733333333	88.5147
FBpp0203105	2.32543666666667	2.11437666666667	4.61121	5.23264333333333
FBpp0203106	1.29446666666667	1.68724	9.56899333333333	12.6971666666667
FBpp0203107	16.0657666666667	15.3435	32.6764	34.5156333333333
FBpp0203108	1.04821066666667	0.918521666666667	12.7325333333333	20.7262333333333
FBpp0203109	0.0	0.0771087	1.846031	1.95719233333333
FBpp0203110	0.0688188	0.0199424333333333	1.04350266666667	0.963777
FBpp0203111	2.67166	2.03330333333333	12.68378	7.9975
FBpp0203112	3.09894666666667	4.57061666666667	8.82308333333333	7.57907333333333
FBpp0203113	0.0	0.0	0.0	0.0504516666666667
FBpp0203114	97.9489	112.340166666667	17.5573333333333	26.1974666666667
FBpp0203115	7.46561	12.4206	14.5815333333333	12.8989
FBpp0203116	0.0916923333333333	0.075785	0.0967816666666667	0.0776176666666667
FBpp0203117	0.0	0.0	0.254957333333333	0.118709666666667
FBpp0203118	7.43707666666667	7.87044	17.2628666666667	16.4225666666667
FBpp0203119	0.0451329	0.0145733666666667	2.03779966666667	0.390297333333333
FBpp0203121	9.28251666666667	10.0626733333333	14.6259	16.1180333333333
FBpp0203122	0.430405333333333	0.369104	13.4544666666667	15.6264333333333
FBpp0203123	2.87822	3.86528	6.28518333333333	4.82595
