GeneID	Adipose_rep1	Adipose_rep2	Adipose_rep3	Adipose_rep4	Adipose_rep5	Adipose_rep6
NP_033193.3	0.260826	0.214193	0.198271	0.224108	0.152468	0.198329
NP_033195.1	318.577	290.583	300.788	276.571	233.051	243.897
NP_033196.1	0.0154406	0.0	0.0	0.0	0.0	0.0
NP_033197.2	9.1654	5.48176	7.15379	5.95772	11.4903	6.14141
NP_033199.1	0.0	0.0	0.0	0.0	0.551673	0.546486
NP_033200.2	9.43831	6.45631	8.74483	7.82759	9.77089	8.67208
NP_033203.1	31.4217	41.4177	49.1455	20.8069	22.8946	33.919
NP_033205.2	16.8131	16.9148	21.3923	26.1403	16.4845	22.961
NP_033206.2	21.493	16.7368	15.5199	15.8456	15.0982	16.7475
NP_033207.2	0.797397	0.641985	2.21629	4.48203e-09	1.47666e-08	0.394048
NP_033208.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_033210.1	0.0	0.290485	0.162043	0.246207	0.0	1.66004e-10
NP_033211.2	0.0	0.0	0.0	1.35834e-09	0.0	0.0
NP_033212.1	13.4958	18.665	17.7227	18.4605	16.5719	16.1098
NP_033215.2	14.721	12.1349	12.518	9.69368	9.5866	5.68658
NP_033216.2	49.248	42.1748	45.5422	44.4437	45.3112	45.4263
NP_033219.1	32.0129	31.9298	32.9063	32.2339	33.458	34.2585
NP_033220.2	8.11944	8.17522	7.01574	7.7166	7.95971	8.90008
NP_033222.1	21.4032	29.2324	32.4598	21.8397	29.3674	29.1238
NP_033223.2	10.7756	9.28394	14.2119	6.95923	11.3562	8.90665
NP_033225.1	5.5574	5.1353	3.69559	3.77225	6.09431	4.77686
NP_033227.2	1040.74	971.491	1043.15	1571.96	1440.67	1509.27
NP_033228.2	0.0890355	0.0	0.0337672	0.0	19.8352	0.0
