GeneID	Lung_rep1	Lung_rep2	Lung_rep3	Lung_rep4	Lung_rep5	Lung_rep6
XP_011241953.1	5.61005e-10	0.000477985	0.0	0.0	0.0	0.0
XP_011241975.1	0.00221434	0.348241	0.00876544	0.0127943	9.10244e-06	7.14245e-06
XP_011241983.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011242029.1	0.0570467	0.0177997	0.215198	0.357601	0.151843	0.0402563
XP_011242158.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011242209.2	3.75354	3.11043	3.29219	4.79354	2.67317	3.155
XP_011242283.1	1.20523	4.32738	1.64052	1.78421	1.89175	2.88555
XP_011242293.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011242304.1	1.71345	1.05546	1.62745	1.38654	0.890513	0.653375
XP_011242390.2	1.14478	1.28958	0.629628	0.482625	1.11055	0.461791
XP_011242435.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011242454.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011242471.1	0.0243012	0.0192941	0.0150949	0.0	0.0116313	0.0313451
XP_011242502.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011242520.1	1.96679	1.29829	1.07319	0.601274	0.449307	0.511107
XP_011242545.1	1.02679	0.906243	1.25566	1.31413	1.10697	0.885875
XP_011242548.1	0.101581	0.0982595	0.262767	0.141393	0.042991	0.198162
XP_011242555.1	0.0478381	0.0837119	0.0924045	0.0729543	0.0662558	0.011497
XP_011242562.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011242567.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011242577.1	9.78321e-09	0.0	0.0	5.11597e-08	0.0	0.0
XP_011242593.1	0.0144294	0.22928	0.146436	0.0	0.0	0.0725756
XP_011242611.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011242630.1	0.13678	0.0	0.0	0.076481	0.0909715	0.0691932
XP_011242635.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011242657.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011242698.1	0.0	0.519581	0.0	0.0	0.0	0.671525
XP_011242711.1	0.474408	1.96461	1.46487	0.0285389	0.239863	0.297334
XP_011242717.1	0.0	0.0183091	0.0	0.0	0.0	0.0
XP_011242734.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011242754.1	0.0	0.0	0.000100758	0.0	0.0	0.0
XP_011242776.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011242797.1	3.58872e-07	0.0	0.251749	2.76302e-10	0.0	0.0
XP_011242830.1	0.000314694	0.0	0.0	0.0	0.0	0.0
XP_011242896.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011242908.3	0.580753	0.391512	0.599095	0.419234	0.593702	0.52951
XP_011242920.1	2.95378e-05	1.60371e-05	0.0	0.0	6.147e-06	1.40537e-05
XP_011242939.1	1.48027	1.3793	2.45497	2.16014	2.04336	1.20124
XP_011242961.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243001.1	3.89216	4.42533	2.52892	4.88851	4.35642	2.81548
XP_011243023.1	0.0	0.117592	0.0358748	0.0	0.0	0.0
XP_011243086.1	7.43875e-07	1.51468e-07	0.0	0.0	0.024726	0.0338042
XP_011243095.1	7.43875e-07	1.51468e-07	0.0	0.0	0.024726	0.0338042
XP_011243105.1	0.125779	0.0	0.0	0.0	0.0	0.0
XP_011243106.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243108.1	0.292919	0.0	0.0	0.0	0.0	0.0
XP_011243115.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243119.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243125.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243129.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243130.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243136.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243138.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243141.2	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243155.1	0.678352	0.534304	0.678706	0.74756	0.5425	0.186033
XP_011243156.1	0.305669	0.0	0.0930939	0.0	0.0	0.0672696
XP_011243160.1	0.0509449	0.0	0.0	0.0	0.130401	0.0
XP_011243163.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243185.1	2.35353	3.25819	1.64235	2.92286	0.508798	2.84858
XP_011243195.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243245.1	1.07212	0.615467	1.41584	0.711766	1.41705	1.0425
XP_011243362.3	0.14666	0.00192993	0.0118462	0.142924	0.0	0.0340974
XP_011243363.2	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243453.2	0.890012	0.348614	1.28257	0.625866	0.713933	0.317018
XP_011243521.1	1.25137	0.305671	0.0450289	9.81452e-11	0.211771	0.00064321
XP_011243570.1	0.0	0.0	0.0285248	0.0	0.0	0.0396994
XP_011243580.1	0.114057	0.0	0.0	0.0	0.0	0.0045657
XP_011243592.1	0.0	0.0	0.0134674	0.0	0.0	0.0
XP_011243630.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243639.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243661.1	0.204718	0.0	0.0	0.0	0.0	0.0
XP_011243689.1	2.64381	2.41435	3.30757	2.21747	1.94944	2.16109
XP_011243789.1	4.07303	5.02356	2.61526	1.18237	3.89326	1.2261
XP_011243790.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243797.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011243842.1	0.0	0.0	0.0	1.43135e-07	0.0	0.0
XP_011243859.1	0.163997	0.198779	0.582029	0.400746	0.408809	0.477386
XP_011243931.1	0.0522427	0.0147592	1.47155e-10	0.0	0.0429033	0.143383
XP_011243959.1	0.0687502	1.18367	0.0	0.000846149	0.64634	1.86073e-06
