GeneID	Thyroid_rep1	Thyroid_rep2	Thyroid_rep3	Thyroid_rep4	Thyroid_rep5	Thyroid_rep6
XP_038404103.1	9.60488	8.194	8.13375	9.82085	8.68238	
XP_038404105.1	0.0	5.47494e-11	1.66009e-10	0.170595	6.54449e-11	
XP_038404108.1	9.48147	10.1903	13.2909	9.97689	10.5514	
XP_038404109.1	2.1079	1.82453	3.68395	5.14559	2.82048	
XP_038404115.1	14.9401	13.8487	15.0021	14.8478	14.8512	
XP_038404116.1	129.159	129.011	149.915	157.062	156.487	
XP_038404117.1	1.9196	6.2964	3.72963	1.72494	1.39476	
XP_038404121.1	0.0	0.0	0.0	0.0	0.0	
XP_038404130.1	2.06604	3.05867	0.0177048	2.18757	2.41521	
XP_038404132.1	0.0429715	0.0381475	0.0691733	0.316479	0.250312	
XP_038404133.1	2.2685	2.87323	2.61275	1.28698	3.17335	
XP_038404136.1	135.076	128.146	111.831	120.565	118.601	
XP_038404139.1	0.0	0.0	0.0	0.0	0.0	
XP_038404147.1	7.0801	7.88994	5.35867	6.27514	6.9069	
XP_038404148.1	7.67534	8.74304	7.89716	12.6105	6.76223	
XP_038404150.1	22.9738	27.0059	18.1324	39.5137	23.3317	
XP_038404151.1	27.7262	24.4157	20.2356	31.6854	26.8217	
XP_038404154.1	35.0831	37.2647	34.5816	33.9727	39.0774	
XP_038404155.1	13.9708	9.30129	8.6489	9.13464	16.8429	
XP_038404156.1	37.6283	36.36	35.9599	39.7757	36.2033	
XP_038404158.1	4.01698	3.00471	2.52273	3.93483	3.2881	
XP_038404159.1	1.22816	1.48678	1.0569	1.51375	0.992741	
XP_038404160.1	9.66624	9.85417	8.80936	9.25668	7.86271	
XP_038404161.1	0.0342097	0.0	0.11015	0.909252	0.0265193	
XP_038404162.1	0.0113352	0.0	0.0	0.0	0.0	
XP_038404165.1	9.50331	16.8248	11.6925	23.0166	8.76553	
XP_038404168.1	57.0511	60.7687	60.5924	65.2807	51.2899	
XP_038404170.1	3.10436	2.29578	1.02227	5.78288	2.35597	
XP_038404172.1	7.97881	7.41017	8.18933	9.9107	5.59457	
XP_038404173.1	0.0	0.0	0.0	0.0	0.0	
XP_038404183.1	28.5107	29.6323	34.5579	35.4632	21.7906	
XP_038404185.1	3.92376	1.00873	2.22646	1.76522	1.72608	
XP_038404193.1	94.2771	86.8379	79.3086	76.1275	78.1076	
XP_038404195.1	0.491536	0.442457	0.74977	0.196819	0.474982	
XP_038404200.1	8.05022	4.84704	16.584	12.6027	3.44249	
XP_038404201.1	11.0592	8.57752	9.67743	12.148	9.40293	
XP_038404204.1	6.25509	5.32282	6.53146	6.94419	3.03875	
XP_038404214.1	19.5607	21.2122	29.9275	15.6072	15.7016	
XP_038404215.1	51.5026	50.4094	51.9325	49.887	51.5485	
XP_038404216.1	32.3356	36.44	42.4151	36.7617	27.3126	
XP_038404219.1	20.4808	23.3897	24.539	24.6258	18.3207	
XP_038404221.1	0.111124	0.992023	0.0041841	0.24127	0.0	
XP_038404227.1	1.80395	0.534955	0.113775	0.0	0.0	
XP_038404233.1	0.0	0.0	0.0	0.0	0.0	
XP_038404267.1	1.71841	0.524718	3.30165e-08	0.500073	1.03738	
XP_038404269.1	3.7642	3.82065	4.56769	4.38658	1.96067	
XP_038404272.1	1.28975	0.923988	0.588314	1.60273	1.12423	
XP_038404276.1	0.0154933	0.295659	3.29652	1.69241	2.13687e-07	
XP_038404279.1	10.4633	13.0999	17.4741	11.4051	17.1065	
XP_038404290.1	0.200175	0.233662	0.0	0.164831	0.158538	
XP_038404292.1	0.123669	0.129022	0.690595	0.0	0.0443269	
XP_038404298.1	6.64257	5.84688	2.70992	3.35295	5.08165	
XP_038404305.1	0.0	0.0	0.0	0.0	0.0	
XP_038404329.1	0.641422	0.754707	0.425339	0.704438	0.507882	
XP_038404332.1	12.014	18.5786	16.4068	17.5735	20.9359	
XP_038404338.1	27.5441	23.2245	25.311	27.2148	26.4071	
XP_038404339.1	25.7845	29.0497	27.2262	26.5287	25.1655	
XP_038404340.1	16.9688	13.7439	10.3514	15.8844	15.306	
XP_038404346.1	2.56652	1.35719	1.7401	7.17718	13.7076	
XP_038404354.1	20.6665	30.5689	23.7629	22.6271	22.7103	
XP_038404355.1	46.0028	49.3336	53.0085	44.8308	50.8257	
XP_038404356.1	2.50151	0.638877	0.947569	4.47232	3.13906	
XP_038404357.1	21.7686	22.6515	24.2581	26.7751	16.7066	
XP_038404359.1	13.2202	11.2857	12.0498	11.2317	9.6961	
XP_038404363.1	61.2237	56.3862	55.7201	56.6871	51.4187	
XP_038404365.1	4.76477	2.48313	2.6686	5.75176	3.11809	
XP_038404368.1	11.9683	12.256	13.6888	16.3013	10.0156	
XP_038404369.1	11.1055	12.9465	12.966	12.2502	13.6759	
XP_038404372.1	10.7877	8.47349	7.26178	14.0504	8.99465	
XP_038404373.1	0.274471	0.0529936	0.147016	0.226768	0.366279	
XP_038404374.1	0.762756	0.343259	0.943709	3.23339	0.324138	
XP_038404375.1	10.3237	10.3079	9.57703	9.60116	11.725	
XP_038404376.1	22.9962	50.4328	37.301	31.2169	21.5155	
XP_038404377.1	22.4202	12.3453	8.97022	0.137273	22.9025	
XP_038404378.1	9.72732e-05	0.0	1.82929e-06	1.19683e-06	0.0	
XP_038404383.1	37.0869	34.1231	43.381	47.4184	27.4953	
XP_038404384.1	6.27515	8.08825	8.55797	13.1761	6.0039	
XP_038404390.1	13.7076	17.2633	16.3902	18.3096	11.0128	
XP_038404394.1	67.8737	73.4241	70.0896	74.1287	66.8902	
XP_038404396.1	6.68537	9.93639	21.6463	8.4882	2.03166	
XP_038404399.1	17.4248	16.8148	15.8359	17.0003	20.3699	
XP_038404402.1	21.963	18.93	15.7325	19.5526	16.8138	
XP_038404404.1	36.8057	32.946	42.7902	67.7984	15.7708	
XP_038404407.1	0.695441	1.5195	0.695758	0.581674	0.836028	
XP_038404408.1	10.8703	12.6195	13.37	15.6827	12.5056	
XP_038404411.1	0.962807	1.89572	0.454747	0.596305	0.51615	
XP_038404416.1	1.12856	4.47453	1.11427	3.86897	9.41375	
XP_038404420.1	54.8829	54.4025	50.6972	60.55	54.5978	
XP_038404421.1	2.47689	2.99949	1.86509	3.27675	2.67288	
XP_038404424.1	1.42369	1.45416	1.63778	1.65925	0.625991	
XP_038404427.1	15.5688	16.4459	18.2061	18.3595	16.1689	
XP_038404433.1	30.2084	33.2929	28.6844	33.9514	28.2387	
XP_038404439.1	22.5046	19.7166	28.8375	30.3119	19.2504	
XP_038404441.1	0.837659	0.828439	2.06631	0.417347	0.0	
XP_038404443.1	3.10549	4.52827	2.86873	1.44825	3.56739	
XP_038404446.1	5.30826	1.53451	4.11394	3.92138	1.45641	
XP_038404455.1	5.89424	5.61374	5.83128	6.72955	6.03436	
XP_038404457.1	0.648978	0.349347	0.157492	0.194387	0.130079	
XP_038404461.1	32.469	37.1609	42.0239	49.7853	27.0535	
XP_038404463.1	15.5398	26.6674	28.2292	32.4553	13.6229	
XP_038404464.1	0.329952	0.387449	0.379139	0.929131	0.185117	
XP_038404465.1	0.0	0.0	0.0	0.0	0.0	
XP_038404466.1	0.0	0.0	0.0	0.0	0.0	
XP_038404470.1	0.0	0.0	0.0	0.0	0.0	
XP_038404474.1	0.177119	0.165506	0.101867	0.129132	0.209873	
XP_038404475.1	0.981862	2.58389	0.994507	1.36903	0.037948	
XP_038404484.1	9.18295	11.131	12.6487	13.0444	8.36929	
XP_038404486.1	1.56075	2.06482	2.70878	2.0522	1.30975	
XP_038404490.1	124.198	131.259	138.733	122.435	135.103	
XP_038404491.1	44.3003	38.7625	46.2874	41.4242	40.4986	
XP_038404492.1	0.0309731	0.0842428	0.0766074	0.0543889	0.0221316	
XP_038404495.1	0.478028	0.494937	0.409718	0.308552	0.327389	
XP_038404496.1	3.11853e-10	9.60022e-08	0.0	0.0	4.51775e-06	
XP_038404500.1	7.02855	7.63209	7.46331	4.79769	6.94488	
XP_038404504.1	0.0	0.834255	0.0	0.413051	0.298687	
XP_038404505.1	0.0	0.0	0.0	0.0	0.0	
XP_038404508.1	0.299426	1.33001	0.523769	0.525548	0.207041	
XP_038404511.1	10.0646	11.279	9.74538	9.56946	9.31049	
XP_038404515.1	38.4034	49.1083	48.7682	41.0946	55.6883	
XP_038404519.1	21.8696	19.0317	22.7773	17.415	19.6235	
XP_038404520.1	14.818	14.5867	15.5552	18.9807	6.6868	
XP_038404525.1	93.5109	105.125	115.368	122.078	108.133	
XP_038404526.1	37.5333	35.8218	35.9812	37.3385	41.6626	
XP_038404527.1	0.0	0.0	3.39024e-05	0.0010662	1.81349e-06	
XP_038404545.1	8.65735	7.12465	9.7368	6.56684	5.11663	
XP_038404548.1	0.0	0.0	0.0	0.0	0.0	
XP_038404570.1	4.13326	0.0	0.843586	0.000350334	0.0205243	
XP_038404579.1	45.6923	30.4922	78.9863	68.0395	69.7814	
XP_038404580.1	10.3184	11.558	9.12286	7.29262	7.13015	
XP_038404581.1	57.0312	63.6092	62.1306	58.7271	55.9691	
XP_038404583.1	4.04061	4.33246	4.85438	3.80581	4.07602	
XP_038404584.1	7.06923	6.6131	7.28135	7.19909	7.10128	
XP_038404586.1	0.026223	0.650558	0.295419	0.343579	0.347148	
XP_038404587.1	2.76897	3.11346	2.10056	2.96951	2.32419	
XP_038404588.1	0.613004	1.32913e-08	0.0	0.0554062	0.911566	
XP_038404596.1	0.190987	0.257891	0.175655	0.938505	0.212445	
XP_038404597.1	0.914242	0.836116	1.10289	1.22181	0.27039	
XP_038404598.1	8.32716	12.1171	14.9148	9.92845	10.9543	
XP_038404600.1	15.4765	15.0087	18.7626	16.8919	14.1541	
XP_038404604.1	1.46098	1.97522	2.08352	2.09113	0.755575	
XP_038404606.1	0.314129	0.0985155	0.208233	0.19649	0.0573312	
XP_038404607.1	33.4264	33.6158	34.753	32.2609	31.7065	
XP_038404608.1	31.1157	27.6163	30.3507	29.6864	24.433	
